Wall time,Step,Value
1565084901.5130904,5661000,49.305240631103516
1565084944.0344045,5665000,49.326820373535156
1565085109.665425,5680000,49.779117584228516
1565085552.5141232,5721000,49.95456314086914
1565085583.80618,5724000,49.94703674316406
1565085775.760163,5742000,49.8972282409668
1565085973.0985246,5760000,50.45359420776367
1565086153.5326984,5777000,50.359657287597656
1565086187.0851562,5780000,50.35178756713867
1565086240.034348,5785000,50.46200180053711
1565086293.247381,5790000,50.37904739379883
1565086492.827012,5808000,50.858890533447266
1565086503.236221,5809000,50.75565719604492
1565086681.974294,5826000,50.7449836730957
1565086713.3277953,5829000,50.959110260009766
1565086798.028535,5836000,50.82625961303711
1565087084.8293161,5863000,51.05620574951172
1565087105.6567144,5865000,51.1415901184082
1565087180.7454202,5872000,51.14155578613281
1565087379.9339268,5890000,51.35020065307617
1565087477.722537,5899000,51.462703704833984
1565087572.4539003,5908000,51.510108947753906
1565087677.0116527,5918000,51.291595458984375
1565087800.2756498,5929000,51.92098617553711
1565087841.9330401,5933000,52.02461624145508
1565087852.365307,5934000,52.05345153808594
1565088058.6891584,5953000,52.08708572387695
1565088110.7696183,5958000,51.89179611206055
1565088131.7664688,5960000,51.91759490966797
1565088182.2450676,5964000,53.049774169921875
1565088280.7199473,5973000,53.09662628173828
1565088470.114562,5991000,52.89484405517578
1565088691.4753597,6011000,53.30482864379883
1565088743.8070085,6016000,53.32723617553711
1565088837.873646,6025000,53.23973846435547
1565088901.7277448,6031000,53.26936721801758
1565088912.204612,6032000,53.23931121826172
1565088955.3479812,6036000,53.24547576904297
1565088986.7432935,6039000,53.1629753112793
1565089227.2260737,6061000,54.196414947509766
1565089417.3192735,6079000,53.91181182861328
1565089459.5382462,6083000,54.27189636230469
1565089520.0933924,6088000,54.1905632019043
1565089687.9803162,6104000,54.31454849243164
1565089708.925463,6106000,54.26560592651367
1565089816.433678,6116000,54.27131652832031
1565089881.6462476,6122000,54.48725509643555
1565089902.406479,6124000,54.503578186035156
1565089973.708729,6130000,54.81332778930664
1565089994.6029887,6132000,54.59261703491211
1565090015.485774,6134000,54.72034454345703
1565090144.6444328,6146000,54.642852783203125
1565090165.3995764,6148000,54.541725158691406
1565090186.683331,6150000,54.66753005981445
1565090435.4633958,6173000,55.34099578857422
1565090530.604255,6182000,55.2648811340332
1565090562.4863284,6185000,55.56116485595703
1565090733.9481184,6201000,55.259578704833984
1565090857.44769,6212000,56.04271697998047
1565090878.6548285,6214000,55.91284942626953
1565090941.5337765,6220000,56.11603927612305
1565091076.9549866,6233000,56.11087417602539
1565091128.9771633,6238000,56.07752227783203
1565091202.5099182,6245000,55.890472412109375
1565091274.1557906,6251000,56.393394470214844
1565091410.7266135,6264000,56.344112396240234
1565091686.4851952,6290000,56.5274772644043
1565091936.9280741,6313000,56.5753288269043
1565091980.6077864,6317000,56.69206619262695
1565091991.740232,6318000,56.60182189941406
1565092064.6263418,6325000,56.67844772338867
1565092252.3056436,6342000,57.352298736572266
1565092367.6052225,6353000,57.38896942138672
1565092483.7611074,6364000,57.36178970336914
1565092556.8869913,6371000,57.45151901245117
1565092628.0167596,6377000,57.80870056152344
1565092887.2288756,6401000,57.64198684692383
1565093472.7337763,6456000,58.008392333984375
1565093522.969019,6460000,58.54074478149414
1565093662.5799594,6473000,58.403892517089844
1565093821.6511502,6488000,58.35555648803711
1565093905.740397,6496000,58.30337905883789
1565093916.2081692,6497000,58.292259216308594
1565093967.0626757,6501000,58.771095275878906
1565094074.7997134,6511000,58.81829071044922
1565094179.6843355,6521000,58.83006286621094
1565094190.1262949,6522000,58.7669677734375
1565094200.6922731,6523000,58.79220199584961
1565094287.415746,6531000,58.86825180053711
1565094505.6136012,6551000,59.002933502197266
1565094761.4936404,6575000,59.07316970825195
1565094836.9921615,6582000,58.911380767822266
1565094876.9042614,6585000,59.45907211303711
1565094983.8361049,6595000,59.34488296508789
1565095078.648512,6604000,59.41000747680664
1565095111.9466379,6607000,59.41600036621094
1565095216.4447873,6617000,59.40739059448242
1565095268.8680003,6622000,59.44778060913086
